itemid,shopid,name,currency,stock,status,ctime,t_ctime,sold,historical_sold,liked_count,brand,cmt_count,item_status,price,price_min,price_max,price_before_discount,show_discount,raw_discount,tier_variations_option,rating_star_avg,rating_star_1,rating_star_2,rating_star_3,rating_star_4,rating_star_5,item_type,is_adult,has_lowest_price_guarantee,is_official_shop,is_cc_installment_payment_eligible,is_non_cc_installment_payment_eligible,is_preferred_plus_seller,is_mart,is_on_flash_sale,is_service_by_shopee,shopee_verified,show_official_shop_label,show_shopee_verified_label,show_official_shop_label_in_title,show_free_shipping,insert_date
9674235500,57040335,"Đồng Hồ Nam Dây Da MSTIANQ 3,5CM Classic Phong Cách Cổ Điển, Lịch Lãm",VND,0,1,1625383438,2021-07-04 07:23:58,0,4,1,,1,sold_out,8500000000,8500000000,8500000000,0,0,0,"Mặt Xanh,Mặt Trắng",5,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
9555228280,57040335,"Nhẫn Rồng Nam Mạnh Mẽ, Nhẫn Nam Phong Thủy Đem Lại Hạnh Vận Cho Chủ Nhân",VND,100,1,1621086762,2021-05-15 13:52:42,0,34,8,,10,normal,2900000000,2900000000,2900000000,4500000000,36,36,"Đồng,Vàng",5,0,0,0,0,10,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
9427415843,57040335,Set 6 Nhẫn Nữ Cá Tính Cool Ngầu Nhiều Kiểu,VND,0,1,1615971603,2021-03-17 09:00:03,0,5,4,No Brand,3,sold_out,3000000000,3000000000,3000000000,0,0,0,"Vàng,Bạc",5,0,0,0,0,3,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
8526002003,57040335,Set 6 Khuyên Tai Nữ Cá Tính Nhiều Kiểu Lựa Chọn,VND,0,1,1615781459,2021-03-15 04:10:59,0,9,3,No Brand,4,sold_out,5000000000,5000000000,5000000000,0,0,0,"1,2,3",5,0,0,0,0,4,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
8055238935,57040335,"Dây Chuyền Titan Nam Tree Of Life, Mặt Dây Chuyền Nam Tree Amulet Cực Đẹp",VND,34,1,1621087185,2021-05-15 13:59:45,0,42,7,,10,normal,2900000000,2900000000,2900000000,4500000000,36,36,,5,0,0,0,0,10,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
7653658407,57040335,"Set Khuyên Tai Nữ Cá Tính, Bông Tai Nữ Nhiều Kiểu Lựa Chọn",VND,0,1,1600699012,2020-09-21 14:36:52,0,10,0,No Brand,3,sold_out,5500000000,5500000000,5500000000,0,0,0,"Silver (Bạc),Gold (Vàng)",5,0,0,0,0,3,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
6752658312,57040335,"Khuyên Tai Titan Đinh Dài, Khuyên Tai Nam Ngầu (1 Chiếc)",VND,29,1,1600226751,2020-09-16 03:25:51,0,17,4,No brand,3,normal,2300000000,2300000000,2500000000,4500000000,49,49,"Cong,Thẳng",5,0,0,0,0,3,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
6553402804,57040335,"Khuyên Tai Nam Châm Âm Dương, Khuyên Tai Không Cần Bấm Lỗ (1 Chiếc)",VND,32,1,1600572176,2020-09-20 03:22:56,0,45,4,No Brand,14,normal,1500000000,1500000000,1500000000,3000000000,50,50,,5,0,0,0,0,14,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
6153654146,57040335,Khuyên Tai Nữ Falling Leaf Earrings and Earcuffs (giá 1 chiếc),VND,0,1,1600698118,2020-09-21 14:21:58,0,6,0,No Brand,2,sold_out,1500000000,1500000000,1500000000,0,0,0,"Gold,Silver",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
6053721058,57040335,Khuyên Tai Nữ Eternal Petals Earrings Cánh Hoa Vĩnh Cửu (giá 1 đôi),VND,0,1,1600747011,2020-09-22 03:56:51,0,3,0,No Brand,3,sold_out,5500000000,5500000000,5500000000,0,0,0,"Vàng,Bạc",5,0,0,0,0,3,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
